Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
pink-sparkle-net-frock,PINK SPARKLE NET FROCK,SIZE,7-8 YEARS,,,,,"",,,Shop location,,0,0,0,1,1,
pink-sparkle-net-frock,PINK SPARKLE NET FROCK,SIZE,8-9 YEARS,,,,,"",,,Shop location,,0,0,0,1,1,
pink-sparkle-net-frock,PINK SPARKLE NET FROCK,SIZE,9-10 YEARS,,,,,"",,,Shop location,,0,0,0,1,1,
cream-pearl-embellished-ruffle-neckline-seq-frock,CREAM PEARL EMBELLISHED RUFFLE NECKLINE SEQ FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-pearl-embellished-ruffle-neckline-seq-frock,CREAM PEARL EMBELLISHED RUFFLE NECKLINE SEQ FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-pearl-embellished-ruffle-neckline-seq-frock,CREAM PEARL EMBELLISHED RUFFLE NECKLINE SEQ FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-pearl-embellished-ruffle-neckline-seq-frock,CREAM PEARL EMBELLISHED RUFFLE NECKLINE SEQ FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-pearl-embellished-ruffle-neckline-seq-frock,CREAM PEARL EMBELLISHED RUFFLE NECKLINE SEQ FROCK,Size,9-10 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-pearl-embellished-ruffle-neckline-seq-frock,PINK PEARL EMBELLISHED RUFFLE NECKLINE SEQ FROCK,Size,4-5 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-pearl-embellished-ruffle-neckline-seq-frock,PINK PEARL EMBELLISHED RUFFLE NECKLINE SEQ FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-pearl-embellished-ruffle-neckline-seq-frock,PINK PEARL EMBELLISHED RUFFLE NECKLINE SEQ FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-pearl-embellished-ruffle-neckline-seq-frock,PINK PEARL EMBELLISHED RUFFLE NECKLINE SEQ FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-pearl-embellished-ruffle-neckline-seq-frock,PINK PEARL EMBELLISHED RUFFLE NECKLINE SEQ FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-pearl-embellished-ruffle-neckline-seq-frock,PINK PEARL EMBELLISHED RUFFLE NECKLINE SEQ FROCK,Size,9-10 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-shimmer-organza-frock,PINK SHIMMER ORGANZA FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
