Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Material (product.metafields.custom.material),Pattern (product.metafields.custom.pattern),Text Size Chart (product.metafields.product.size),Age group (product.metafields.shopify.age-group),Baby/Toddler clothing features (product.metafields.shopify.baby-toddler-clothing-features),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Disclosures (product.metafields.shopify.disclosure),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Recommended age group (product.metafields.shopify.recommended-age-group),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Toy/Game material (product.metafields.shopify.toy-game-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sling-bags-7,SLING BAGS,<p>STYLISH OFF-WHITE SEQ SLING BAG WITH A BIG NET FLOWER WITH PEARLS &amp; CRYSTAL</p>,Beautifulmessstore,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Cross Body Bags","","",true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,1500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-07-06at14.06.03_1.jpg?v=1783592120,1,"",false,,,,,,all-ages; kids,,,shoulder-strap; crossbody-strap; handle,white,,,,,,,,,,,,,,,,,,kg,,,active
sling-bags-6,SLING BAGS,<p>STYLISH LAVENDER SEQ SLING BAG WITH A BIG NET FLOWER WITH PEARLS &amp; CRYSTAL</p>,Beautifulmessstore,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Cross Body Bags","","",true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,1500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-07-06at14.06.03_6ff2334d-9932-4cda-b1ed-e368521647f4.jpg?v=1783591843,1,"",false,,,,,,kids; all-ages,,,shoulder-strap; handle; crossbody-strap,purple,,,,,,,,,,,female,,,,,,,kg,,,active
sling-bags-5,SLING BAGS,<p>STYLISH PINK SEQ SLING BAG WITH A BIG NET FLOWER WITH PEARLS &amp; CRYSTAL</p>,Beautifulmessstore,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Cross Body Bags","","",true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,1500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-07-06at14.06.02_4.jpg?v=1783328281,1,"",false,,,,,,all-ages; kids,,single-compartment,shoulder-strap; handle; crossbody-strap,pink,,,,,,,,,,,female,,,,,,,kg,,,active
sling-bags-4,SLING BAGS,<p>PINK SEQ &amp; LACE SLING BAGS WITH PINK CRYSTAL HANDLE AND A SMART BOW WHICH IS MADE OUT OF CRYSTAL AND PEARL</p>,Beautifulmessstore,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Cross Body Bags","","",true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,1500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-07-06at14.06.02_3.jpg?v=1783328077,1,"",false,,,,,,all-ages; kids,,single-compartment,handle; crossbody-strap; shoulder-strap,pink,,,,,,,,,,,female,,,,,,,kg,,,active
sling-bags-3,SLING BAGS,<p>BLUE SEQ LACE SLING BAGS WITH BLUE CRYSTAL HANDLE AND A SMART BOW WHICH IS MADE OUT OF CRYSTAL AND PEARL</p>,Beautifulmessstore,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Cross Body Bags","","",true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,1500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-07-06at14.06.02_2.jpg?v=1783327894,1,"",false,,,,,,all-ages; kids,,single-compartment,shoulder-strap,blue,,,,,,,,,,,female,,,,,,,kg,,,active
sling-bags-2,SLING BAGS,"<p>LAVENDER SEQ, LACE SLING BAGS WITH LAVENDER HANDLE AND A SMART BOW WHICH IS MADE OUT OF CRYSTAL AND PEARL</p>",Beautifulmessstore,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Cross Body Bags","","",true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,1500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-07-06at14.06.02_1.jpg?v=1783327694,1,"",false,,,,,,kids; all-ages,,,shoulder-strap,purple,,,,,,,,,,,female,,,,,,,kg,,,active
sling-bags-1,SLING BAGS,<p>PINK TWEED MATERIAL SLING BAGS WITH PEARL HANDLE AND A SMART BOW WHICH IS MADE OUT OF CRYSTAL AND PEARL</p>,Beautifulmessstore,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Cross Body Bags","","",true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,1500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-07-06at14.06.02.jpg?v=1783327584,1,"",false,,,,,,kids; all-ages,,single-compartment,shoulder-strap,pink,,,,,,,,,,,female,,,,,,,kg,,,active
sling-bags,SLING BAGS,<p>BLUE TWEED MATERIAL SLING BAGS WITH PEARL HANDLE AND A SMART BOW WHICH IS MADE OUT OF CRYSTAL AND PEARL</p>,Beautifulmessstore,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Cross Body Bags","","",true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,1500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-07-06at14.06.01.jpg?v=1783327353,1,"",false,,,,,,all-ages,,single-compartment,shoulder-strap; crossbody-strap,blue,,,,,,,,,,,female,,,,,,,kg,,,active
pink-ruffle-sleeve-with-beautiful-seq-work-on-chest,PINK RUFFLE SLEEVE WITH BEAUTIFUL SEQ WORK ON CHEST,"<p>Premium soft-flowing fabric<br>Delicate sequin embroidered yoke with lace detailing<br>Statement layered ruffle sleeves<br>Elegant tiered ruffle hem<br>Comfortable fit for all-day wear<br>Perfect for parties, celebrations &amp; special occasions<br>A dress that blends timeless elegance with princess-worthy charm.  </p>
<p>KINDLY PLEASE VERIFY THE MEASUREMENTS BEFORE PLACING THE ORDER, AS WE DO NOT HAVE EXCHANGE OR REFUND. </p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing,"","",true,Size,5-6-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-07-02at11.11.11AM.jpg?v=1782978418,1,"",false,,,,,,,,,,pink,,,,seq; organza; cotton; satin,,,,5-6-years; 6-7-years; 7-8-years; 8-9-years; 9-10-years; 10-11-years,,,female,,,,,,,kg,,,active
pink-ruffle-sleeve-with-beautiful-seq-work-on-chest,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_11.12.54_AM.jpg?v=1782978431,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-ruffle-sleeve-with-beautiful-seq-work-on-chest,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_11.11.19_AM.jpg?v=1782978438,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-ruffle-sleeve-with-beautiful-seq-work-on-chest,,,,,,,,,8-9-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-ruffle-sleeve-with-beautiful-seq-work-on-chest,,,,,,,,,9-10-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-ruffle-sleeve-with-beautiful-seq-work-on-chest,,,,,,,,,10-11-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ivory-seq-hem-frock,IVORY SEQ HEM FROCK,"<p>Delicate, elegant, and timeless, this beautiful ivory dress is designed to make every little girl feel special. Crafted with a soft, flowy silhouette, the dress features shimmering sequin detailing that adds a subtle sparkle, while the statement 3D floral hem creates a luxurious finish. The layered with charming shoulder bows enhances its graceful appeal, making it perfect for memorable occasions. </p>
<p>KINDLY PLEASE VERIFY THE MEASUREMENTS BEFORE PLACING THE ORDER, AS WE DO NOT HAVE EXCHANGE OR REFUND</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Dresses,"","",true,Size,5-6-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.44_2.jpg?v=1782977393,1,"",false,,,,,,,,,,cream; ivory,,party; formal,flared,,,round,,5-6-years; 6-7-years; 7-8-years; 8-9-years; 9-10-years; 10-11-years,short,,female,,,,,,,kg,,,active
